scenario,train,test,model,n_train,n_valid,n_test,alpha,spearman,weighted_spearman,rank_mae,sor20,wsor20,w_zxcvbn,w_struct,w_char
online,linkedin+000webhost,rockyou,Length,1440,360,899,,0.12137693998099754,0.11758193055792794,0.3782853897756805,0.08333333333333333,0.09865671603826617,,,
online,linkedin+000webhost,rockyou,Entropy,1440,360,899,,0.08384263095073298,-0.05145053805737576,0.42564376635941586,0.12777777777777777,0.12922526523562794,,,
online,linkedin+000webhost,rockyou,LUDS,1440,360,899,,0.18899999270213538,0.5178827175142592,0.26878601004931496,0.05555555555555555,0.032874337705810386,,,
online,linkedin+000webhost,rockyou,Struct-HGB,1440,360,899,,0.4558266269558003,0.7506004782024995,0.16560765727573665,0.022222222222222223,0.01335017207566751,,,
online,linkedin+000webhost,rockyou,Char-TFIDF,1440,360,899,,0.2981671334673704,0.6432065374114745,0.20956903519911577,0.06111111111111111,0.029330443784799855,,,
online,linkedin+000webhost,rockyou,RankPSM-Lite,1440,360,899,0.8,0.37344660180276695,0.6760246779562082,0.18819540419017466,0.03888888888888889,0.016865450309176605,,,
online,linkedin+000webhost,rockyou,Ablation-StructuralRank,1440,360,899,,0.4558266269558003,0.7506004782024995,0.16560765727573665,0.022222222222222223,0.01335017207566751,,,
online,linkedin+000webhost,rockyou,Ablation-CharRank,1440,360,899,,0.2981671334673704,0.6432065374114745,0.20956903519911577,0.06111111111111111,0.029330443784799855,,,
online,linkedin+000webhost,rockyou,zxcvbn-guess,1440,360,899,,0.7133975889223224,0.8119546099490045,0.0930190351828823,0.005555555555555556,0.013291032988164551,,,
online,linkedin+000webhost,rockyou,RankPSM-Calibrated,1440,360,899,,0.37346798335325293,0.6760587475774883,0.18818828288516465,0.03888888888888889,0.016865450309176605,0.0,0.2,0.8
online,rockyou+000webhost,linkedin,Length,1420,356,923,,0.16438838855401583,0.2571109936494739,0.32950149231544806,0.07567567567567568,0.07277795183541758,,,
online,rockyou+000webhost,linkedin,Entropy,1420,356,923,,0.12939991496065775,0.05065114428168794,0.37598789569161545,0.14054054054054055,0.12265558526678988,,,
online,rockyou+000webhost,linkedin,LUDS,1420,356,923,,0.20686838669711108,0.6277896771865594,0.22684303022789123,0.07567567567567568,0.030206421566524155,,,
online,rockyou+000webhost,linkedin,Struct-HGB,1420,356,923,,0.35490784067562636,0.7368378440818836,0.17698161441993246,0.04864864864864865,0.013317433370330702,,,
online,rockyou+000webhost,linkedin,Char-TFIDF,1420,356,923,,0.25064458148221735,0.8041325290932084,0.17673196074886255,0.10810810810810811,0.04074190112500604,,,
online,rockyou+000webhost,linkedin,RankPSM-Lite,1420,356,923,0.35000000000000003,0.3835855734717314,0.785395537714036,0.15588191720058683,0.05405405405405406,0.013731933424167134,,,
online,rockyou+000webhost,linkedin,Ablation-StructuralRank,1420,356,923,,0.35490784067562636,0.7368378440818836,0.17698161441993246,0.04864864864864865,0.013317433370330702,,,
online,rockyou+000webhost,linkedin,Ablation-CharRank,1420,356,923,,0.25064458148221735,0.8041325290932084,0.17673196074886255,0.10810810810810811,0.04074190112500604,,,
online,rockyou+000webhost,linkedin,zxcvbn-guess,1420,356,923,,0.7229699402340106,0.8019819003072789,0.088649490515959,0.016216216216216217,0.0038945734225048164,,,
online,rockyou+000webhost,linkedin,RankPSM-Calibrated,1420,356,923,,0.7265377758441375,0.8054782859025722,0.08542210545036477,0.021621621621621623,0.005367182012208861,0.75,0.1,0.15
online,rockyou+linkedin,000webhost,Length,1457,365,877,,0.0913934364800589,0.3401281654622021,0.33447085027021733,0.1534090909090909,0.12232797628335154,,,
online,rockyou+linkedin,000webhost,Entropy,1457,365,877,,0.05222144460632894,0.3087161577804269,0.36773812825542795,0.2215909090909091,0.17673641811572846,,,
online,rockyou+linkedin,000webhost,LUDS,1457,365,877,,0.2379750347812875,0.3816533083278738,0.2828164026859547,0.13636363636363635,0.12151892882116005,,,
online,rockyou+linkedin,000webhost,Struct-HGB,1457,365,877,,0.28319639200304925,0.3713800018120303,0.23016717128517677,0.08522727272727272,0.02699040122975214,,,
online,rockyou+linkedin,000webhost,Char-TFIDF,1457,365,877,,0.17692212954264952,0.3019128053659304,0.3030930440579062,0.07954545454545454,0.04448316314442075,,,
online,rockyou+linkedin,000webhost,RankPSM-Lite,1457,365,877,0.6000000000000001,0.256548377752467,0.384715545941387,0.24474111583657457,0.11363636363636363,0.08286957577018429,,,
online,rockyou+linkedin,000webhost,Ablation-StructuralRank,1457,365,877,,0.28319639200304925,0.3713800018120303,0.23016717128517677,0.08522727272727272,0.02699040122975214,,,
online,rockyou+linkedin,000webhost,Ablation-CharRank,1457,365,877,,0.17692212954264952,0.3019128053659304,0.3030930440579062,0.07954545454545454,0.04448316314442075,,,
online,rockyou+linkedin,000webhost,zxcvbn-guess,1457,365,877,,0.48138175434491115,0.4348090565852774,0.1824978125608314,0.07386363636363637,0.06860722479383737,,,
online,rockyou+linkedin,000webhost,RankPSM-Calibrated,1457,365,877,,0.48084247619328,0.48381889928111604,0.18069329048255425,0.07386363636363637,0.06860722479383737,0.9500000000000001,0.0,0.05
offline,linkedin+000webhost,rockyou,Length,15623,3906,9385,,0.4332706754301618,0.11160944706145792,0.30184182421184963,0.04635055940330314,0.025256324235430106,,,
offline,linkedin+000webhost,rockyou,Entropy,15623,3906,9385,,0.3960288701613408,-0.00852080515425434,0.3358987287396911,0.05327650506126798,0.05416419137718699,,,
offline,linkedin+000webhost,rockyou,LUDS,15623,3906,9385,,0.474034952922087,0.4081885337395491,0.22218033930410902,0.03729355354288759,0.01641752542158469,,,
offline,linkedin+000webhost,rockyou,Struct-HGB,15623,3906,9385,,0.5958546523641532,0.6217734359583507,0.1269365579573699,0.012786361214704315,0.0021170701336842355,,,
offline,linkedin+000webhost,rockyou,Char-TFIDF,15623,3906,9385,,0.5240830388040651,0.7330995362318496,0.11573893164637128,0.024507192328183273,0.010592792039717079,,,
offline,linkedin+000webhost,rockyou,RankPSM-Lite,15623,3906,9385,0.4,0.6663581269840543,0.7064558190103394,0.08703359525710501,0.005327650506126798,0.0014941653447897378,,,
offline,linkedin+000webhost,rockyou,Ablation-StructuralRank,15623,3906,9385,,0.5958546523641532,0.6217734359583507,0.1269365579573699,0.012786361214704315,0.0021170701336842355,,,
offline,linkedin+000webhost,rockyou,Ablation-CharRank,15623,3906,9385,,0.5240830388040651,0.7330995362318496,0.11573893164637128,0.024507192328183273,0.010592792039717079,,,
offline,linkedin+000webhost,rockyou,zxcvbn-guess,15623,3906,9385,,0.7454371243935722,0.7718175662229022,0.04783550544217766,0.011720831113478956,0.0023830991575127464,,,
offline,linkedin+000webhost,rockyou,RankPSM-Calibrated,15623,3906,9385,,0.7636728843198453,0.7724387465607623,0.04598824745316971,0.008524240809802876,0.0014389751743451283,0.9,0.1,-0.0
offline,rockyou+000webhost,linkedin,Length,15370,3843,9701,,0.6158645777540486,0.35135745011763936,0.2115734787202159,0.013395157135497167,0.00265984942128329,,,
offline,rockyou+000webhost,linkedin,Entropy,15370,3843,9701,,0.5959318014184776,0.17309174548236314,0.23960915899123753,0.01287995878413189,0.00660443388502721,,,
offline,rockyou+000webhost,linkedin,LUDS,15370,3843,9701,,0.6636120862007724,0.6346045120489314,0.13427150389192252,0.004121586810922205,0.003442441365803541,,,
offline,rockyou+000webhost,linkedin,Struct-HGB,15370,3843,9701,,0.5432383392721135,0.7956162100854898,0.09167787186396328,0.01287995878413189,0.001869391424397605,,,
offline,rockyou+000webhost,linkedin,Char-TFIDF,15370,3843,9701,,0.6021320496932904,0.9008372048625855,0.07872378366676151,0.0077279752704791345,0.0016669609747483665,,,
offline,rockyou+000webhost,linkedin,RankPSM-Lite,15370,3843,9701,0.45,0.6645653958660934,0.8859354119651401,0.06185954384227292,0.002575991756826378,0.0006357054564718347,,,
offline,rockyou+000webhost,linkedin,Ablation-StructuralRank,15370,3843,9701,,0.5432383392721135,0.7956162100854898,0.09167787186396328,0.01287995878413189,0.001869391424397605,,,
offline,rockyou+000webhost,linkedin,Ablation-CharRank,15370,3843,9701,,0.6021320496932904,0.9008372048625855,0.07872378366676151,0.0077279752704791345,0.0016669609747483665,,,
offline,rockyou+000webhost,linkedin,zxcvbn-guess,15370,3843,9701,,0.8392183152569217,0.9079219372101225,0.02756803383191127,0.00463678516228748,0.0003860786926299905,,,
offline,rockyou+000webhost,linkedin,RankPSM-Calibrated,15370,3843,9701,,0.8652936603703413,0.9411546236503777,0.026263334719154287,0.0010303967027305513,0.00013853884064020033,0.75,0.15000000000000002,0.1
offline,rockyou+linkedin,000webhost,Length,15268,3818,9828,,0.5743710262096052,0.5762973384774347,0.2098120207703832,0.015768056968463885,0.0018875947388683626,,,
offline,rockyou+linkedin,000webhost,Entropy,15268,3818,9828,,0.5686428550940226,0.4638117469251718,0.23504409214000913,0.039165818921668365,0.022521849555538955,,,
offline,rockyou+linkedin,000webhost,LUDS,15268,3818,9828,,0.6510945218972333,0.6350321417846397,0.14257467317310923,0.012207527975584944,0.0004941648327022197,,,
offline,rockyou+linkedin,000webhost,Struct-HGB,15268,3818,9828,,0.5431689412429521,0.7352391690278803,0.17954955035345818,0.02899287894201424,0.002801225069096885,,,
offline,rockyou+linkedin,000webhost,Char-TFIDF,15268,3818,9828,,0.44258661400779475,0.5184165845735357,0.16468274565521412,0.03611393692777213,0.03987507972717504,,,
offline,rockyou+linkedin,000webhost,RankPSM-Lite,15268,3818,9828,0.7000000000000001,0.575992593916936,0.6446142100459946,0.13176436934986918,0.02187182095625636,0.007679666266354845,,,
offline,rockyou+linkedin,000webhost,Ablation-StructuralRank,15268,3818,9828,,0.5431689412429521,0.7352391690278803,0.17954955035345818,0.02899287894201424,0.002801225069096885,,,
offline,rockyou+linkedin,000webhost,Ablation-CharRank,15268,3818,9828,,0.44258661400779475,0.5184165845735357,0.16468274565521412,0.03611393692777213,0.03987507972717504,,,
offline,rockyou+linkedin,000webhost,zxcvbn-guess,15268,3818,9828,,0.8252297607568682,0.9041616392453244,0.05244997408981395,0.0076297049847405905,0.00013503341358723445,,,
offline,rockyou+linkedin,000webhost,RankPSM-Calibrated,15268,3818,9828,,0.8374999707302202,0.8265504272907143,0.05520386215889716,0.006612410986775178,0.00013790646494015433,0.75,0.1,0.15
