coverage,weighted_spearman,n
0.5,0.7791144962597144,4914
0.55,0.7937992282151602,5405
0.6,0.807728880593601,5896
0.65,0.8137987983522721,6388
0.7,0.8162189007574047,6879
0.75,0.8179334735150467,7371
0.8,0.8240521838333196,7862
0.85,0.8233899075293891,8353
0.9,0.8262824057179406,8845
0.95,0.8306597710146644,9336
1.0,0.8265504272907143,9828
