coverage,weighted_spearman,n
0.5,0.8237520234491169,461
0.55,0.8213267676311251,507
0.6,0.8206357754066202,553
0.65,0.8160223776336895,599
0.7,0.8150998326751993,646
0.75,0.8098293735318026,692
0.8,0.8077347934915715,738
0.85,0.8064353368969506,784
0.9,0.8047647459802513,830
0.95,0.8045853929457645,876
1.0,0.8054782859025725,923
