coverage,weighted_spearman,n
0.5,0.6011881753999497,438
0.55,0.5897200245563411,482
0.6,0.5787924257650117,526
0.65,0.5804093087912914,570
0.7,0.578610078533765,613
0.75,0.5815743933452624,657
0.8,0.5160571136623775,701
0.85,0.5030217104281434,745
0.9,0.48990265139739775,789
0.95,0.48877882646680326,833
1.0,0.48381889928111604,877
