coverage,weighted_spearman,n
0.5,0.8351142509941488,449
0.55,0.8205763214524882,494
0.6,0.8142251490776704,539
0.65,0.7851282946878021,584
0.7,0.7747583653611436,629
0.75,0.7643115024393179,674
0.8,0.7600280400484261,719
0.85,0.6763856216775027,764
0.9,0.6777361418646007,809
0.95,0.6817351093363387,854
1.0,0.6760587475774883,899
