coverage,weighted_spearman,n
0.5,0.9405570513557864,4850
0.55,0.9399232519998145,5335
0.6,0.9403177871346374,5820
0.65,0.9399330201529927,6305
0.7,0.9393568817200257,6790
0.75,0.9394432417261229,7275
0.8,0.9397508849065818,7760
0.85,0.9390551321384683,8245
0.9,0.9396393805461142,8730
0.95,0.9404767221946229,9215
1.0,0.9411546236503774,9701
