model,weighted_spearman_mean,wsor20_mean,rank_mae_mean
Ablation-CharRank,0.6502675329230974,0.027781723465977858,0.17475658349570525
Ablation-StructuralRank,0.668574523194689,0.010074282217154847,0.16182007052593952
Char-TFIDF,0.6502675329230974,0.027781723465977858,0.17475658349570525
RankPSM-Calibrated,0.7509166217105051,0.015425879599191386,0.09695985385821748
RankPSM-Lite,0.6805235337721842,0.020546082761857407,0.14491265761276387
Struct-HGB,0.668574523194689,0.010074282217154847,0.16182007052593952
zxcvbn-guess,0.772107784919985,0.014782840411372783,0.08200330860392926
